1664328975.865933,16.1
1664328976.0664995,15.3
1664328976.2670095,13.7
1664328976.46752,40.6
1664328976.6680286,11.9
1664328976.8688853,12.5
1664328977.069717,11.8
1664328977.270597,0.6
1664328977.4718418,2.5
1664328977.672777,12.5
1664328977.8733263,13.0
1664328978.0738966,17.4
1664328978.2744606,13.7
1664328978.4750123,12.6
1664328978.675538,13.2
1664328978.8761327,14.2
1664328979.0766912,11.3
1664328979.277237,16.4
1664328979.4777813,13.0
1664328979.678305,46.5
1664328979.878854,25.9
1664328980.079391,25.9
1664328980.279899,20.1
1664328980.480412,76.1
1664328980.6809514,41.9
1664328980.8815236,33.7
1664328981.0820591,51.9
1664328981.2826068,49.7
1664328981.4831727,6.9
1664328981.684112,0.0
1664328981.885444,0.6
1664328982.086996,0.0
1664328982.2884738,0.6
1664328982.490018,12.3
1664328982.6909907,40.6
1664328982.8915377,49.7
1664328983.0920153,50.0
1664328983.292488,50.0
1664328983.4929624,51.9
1664328983.6935425,55.9
1664328983.8940866,50.0
1664328984.0945628,40.6
1664328984.2951286,0.6
1664328984.4963028,0.0
1664328984.6977227,17.9
1664328984.89877,14.3
1664328985.0993571,12.6
1664328985.2998488,12.0
1664328985.5003424,12.5
1664328985.7008457,11.2
1664328985.9013965,17.6
1664328986.10212,50.3
1664328986.302969,50.3
1664328986.503989,50.6
1664328986.704659,50.3
1664328986.905244,52.2
1664328987.105814,7.5
1664328987.307051,13.0
1664328987.507976,62.3
1664328987.7085698,81.9
1664328987.9089577,76.9
1664328988.1094692,82.8
1664328988.3100605,77.8
1664328988.510616,77.5
1664328988.7112026,78.2
1664328988.9117463,76.7
1664328989.1123638,82.1
1664328989.3128889,79.1
1664328989.5134087,77.0
1664328989.7139287,77.4
1664328989.9144323,77.5
1664328990.1149428,77.7
1664328990.315457,82.2
1664328990.516068,75.3
1664328990.716646,76.4
1664328990.9171941,77.9
1664328991.117795,78.1
1664328991.3183284,81.3
1664328991.5188527,79.5
1664328991.7192862,76.1
1664328991.9198635,74.8
1664328992.120382,77.6
1664328992.3208978,79.1
1664328992.5214245,81.4
1664328992.7219467,76.9
1664328992.9224625,78.1
1664328993.1230278,77.0
1664328993.3236644,78.0
1664328993.5242524,81.2
1664328993.7247784,81.5
1664328993.9253242,78.1
1664328994.1259139,77.6
1664328994.326463,77.8
1664328994.526979,75.9
1664328994.7275097,84.1
